Timestamp,Voltage(V),Current(A),Power(W),Temperature(C),Battery(%),System_Status
2026-05-17 06:00:00,17.93,0.9,16.14,26.72,55.0,Normal
2026-05-17 06:01:00,18.01,1.04,18.73,25.93,55.6,Normal
2026-05-17 06:02:00,18.13,1.09,19.76,26.91,56.2,Normal
2026-05-17 06:03:00,17.96,1.61,28.92,26.49,56.8,Normal
2026-05-17 06:04:00,18.13,1.26,22.84,26.38,57.4,Normal
2026-05-17 06:05:00,18.6,1.9,35.34,27.07,58.1,Normal
2026-05-17 06:06:00,19.0,1.98,37.62,28.46,58.7,Normal
2026-05-17 06:07:00,19.22,1.64,31.52,28.64,59.3,Normal
2026-05-17 06:08:00,18.35,2.06,37.8,28.23,59.9,Normal
2026-05-17 06:09:00,18.56,2.32,43.06,27.97,60.5,Normal
2026-05-17 06:10:00,19.0,1.97,37.43,30.11,61.1,Normal
2026-05-17 06:11:00,18.83,2.37,44.63,28.73,61.7,Normal
2026-05-17 06:12:00,18.75,2.69,50.44,29.64,62.3,Normal
2026-05-17 06:13:00,19.37,2.34,45.33,29.67,62.9,Normal
2026-05-17 06:14:00,19.51,2.63,51.31,31.24,63.5,Normal
2026-05-17 06:15:00,19.17,2.61,50.03,31.39,64.1,Normal
2026-05-17 06:16:00,19.75,3.11,61.42,30.2,64.6,Normal
2026-05-17 06:17:00,19.77,2.89,57.14,32.07,65.2,Normal
2026-05-17 06:18:00,20.32,3.37,68.48,30.99,65.8,Normal
2026-05-17 06:19:00,19.49,3.3,64.32,31.95,66.4,Normal
2026-05-17 06:20:00,20.44,3.43,70.11,32.3,67.0,Normal
2026-05-17 06:21:00,20.45,3.3,67.48,32.53,67.5,Normal
2026-05-17 06:22:00,19.89,3.72,73.99,33.64,68.1,Normal
2026-05-17 06:23:00,20.44,3.89,79.51,33.12,68.7,Normal
2026-05-17 06:24:00,20.09,4.05,81.36,33.27,69.2,Normal
2026-05-17 06:25:00,20.38,4.06,82.74,34.59,69.8,Normal
2026-05-17 06:26:00,20.14,3.97,79.96,34.43,70.3,Normal
2026-05-17 06:27:00,20.68,4.01,82.93,33.36,70.9,Normal
2026-05-17 06:28:00,20.68,4.4,90.99,34.72,71.4,Normal
2026-05-17 06:29:00,21.32,4.17,88.9,35.16,72.0,Normal
2026-05-17 06:30:00,21.15,4.22,89.25,35.51,72.5,Normal
2026-05-17 06:31:00,21.21,4.66,98.84,35.16,73.0,Normal
2026-05-17 06:32:00,20.85,4.77,99.45,36.25,73.5,Normal
2026-05-17 06:33:00,21.09,5.04,106.29,36.69,74.1,Normal
2026-05-17 06:34:00,21.13,4.75,100.37,35.89,74.6,Normal
2026-05-17 06:35:00,21.47,4.79,102.84,36.36,75.1,Normal
2026-05-17 06:36:00,21.2,5.12,108.54,37.42,75.6,Normal
2026-05-17 06:37:00,21.56,4.98,107.37,36.29,76.1,Normal
2026-05-17 06:38:00,21.83,5.2,113.52,37.12,76.5,Normal
2026-05-17 06:39:00,22.26,5.44,121.09,37.78,77.0,Normal
2026-05-17 06:40:00,22.12,5.36,118.56,36.75,77.5,Normal
2026-05-17 06:41:00,22.36,5.71,127.68,37.1,78.0,Normal
2026-05-17 06:42:00,22.48,5.57,125.21,37.7,78.4,Normal
2026-05-17 06:43:00,22.11,5.66,125.14,38.72,78.9,Normal
2026-05-17 06:44:00,22.51,5.92,133.26,38.46,79.3,Normal
2026-05-17 06:45:00,22.69,5.68,128.88,39.66,79.7,Normal
2026-05-17 06:46:00,22.02,6.3,138.73,39.88,80.2,Normal
2026-05-17 06:47:00,22.81,6.3,143.7,38.35,80.6,Normal
2026-05-17 06:48:00,22.82,6.15,140.34,39.17,81.0,Normal
2026-05-17 06:49:00,22.49,6.24,140.34,39.48,81.4,Normal
2026-05-17 06:50:00,22.74,6.32,143.72,40.71,81.8,Normal
2026-05-17 06:51:00,22.7,6.53,148.23,39.52,82.2,Normal
2026-05-17 06:52:00,22.71,6.24,141.71,41.14,82.6,Normal
2026-05-17 06:53:00,22.77,6.67,151.88,40.65,83.0,Normal
2026-05-17 06:54:00,22.92,6.9,158.15,39.96,83.3,Normal
2026-05-17 06:55:00,22.46,6.92,155.42,40.53,83.7,Normal
2026-05-17 06:56:00,22.94,7.08,162.42,41.52,84.0,Normal
2026-05-17 06:57:00,22.66,6.68,151.37,41.21,84.4,Normal
2026-05-17 06:58:00,23.18,6.78,157.16,40.9,84.7,Normal
2026-05-17 06:59:00,23.21,6.84,158.76,42.33,85.0,High Temperature
2026-05-17 07:00:00,23.26,6.98,162.35,42.3,85.3,High Temperature
2026-05-17 07:01:00,23.54,7.08,166.66,42.38,85.6,High Temperature
2026-05-17 07:02:00,22.93,7.24,166.01,42.15,85.9,High Temperature
2026-05-17 07:03:00,23.35,7.49,174.89,42.75,86.2,High Temperature
2026-05-17 07:04:00,23.71,7.18,170.24,42.52,86.5,High Temperature
2026-05-17 07:05:00,23.47,7.47,175.32,42.89,86.7,High Temperature
2026-05-17 07:06:00,23.35,7.36,171.86,42.69,87.0,High Temperature
2026-05-17 07:07:00,23.89,7.64,182.52,43.04,87.2,High Temperature
2026-05-17 07:08:00,23.79,7.63,181.52,41.97,87.5,Normal
2026-05-17 07:09:00,23.5,7.74,181.89,43.76,87.7,High Temperature
2026-05-17 07:10:00,23.16,7.81,180.88,43.41,87.9,High Temperature
2026-05-17 07:11:00,23.62,7.5,177.15,43.03,88.1,High Temperature
2026-05-17 07:12:00,23.41,7.65,179.09,44.03,88.3,High Temperature
2026-05-17 07:13:00,23.35,7.98,186.33,42.87,88.5,High Temperature
2026-05-17 07:14:00,24.03,8.02,192.72,43.75,88.6,High Temperature
2026-05-17 07:15:00,23.4,7.64,178.78,44.23,88.8,High Temperature
2026-05-17 07:16:00,24.12,8.06,194.41,44.27,89.0,High Temperature
2026-05-17 07:17:00,23.83,8.02,191.12,42.87,89.1,High Temperature
2026-05-17 07:18:00,23.44,7.65,179.32,44.23,89.2,High Temperature
2026-05-17 07:19:00,23.85,7.88,187.94,43.63,89.4,High Temperature
2026-05-17 07:20:00,24.3,7.79,189.3,44.69,89.5,High Temperature
2026-05-17 07:21:00,23.43,7.8,182.75,44.32,89.6,High Temperature
2026-05-17 07:22:00,23.9,7.96,190.24,44.33,89.7,High Temperature
2026-05-17 07:23:00,23.82,7.99,190.32,44.35,89.7,High Temperature
2026-05-17 07:24:00,23.95,8.13,194.71,43.8,89.8,High Temperature
2026-05-17 07:25:00,23.52,7.79,183.22,44.72,89.9,High Temperature
2026-05-17 07:26:00,24.23,7.82,189.48,43.43,89.9,High Temperature
2026-05-17 07:27:00,23.93,8.2,196.23,43.13,90.0,High Temperature
2026-05-17 07:28:00,24.36,7.92,192.93,44.34,90.0,High Temperature
2026-05-17 07:29:00,24.18,8.11,196.1,43.63,90.0,High Temperature
2026-05-17 07:30:00,24.22,7.92,191.82,43.6,90.0,High Temperature
2026-05-17 07:31:00,23.94,8.22,196.79,43.95,90.0,High Temperature
2026-05-17 07:32:00,23.99,7.75,185.92,43.05,90.0,High Temperature
2026-05-17 07:33:00,23.88,7.81,186.5,44.73,90.0,High Temperature
2026-05-17 07:34:00,24.41,7.77,189.67,44.69,89.9,High Temperature
2026-05-17 07:35:00,23.56,7.87,185.42,44.27,89.9,High Temperature
